GENERATION_PROJECT	build_year	gen_capacity_limit_mw	gen_connect_cost_per_mw	gen_dbid	gen_energy_source	gen_fixed_om	gen_forced_outage_rate	gen_full_load_heat_rate	gen_is_baseload	gen_is_cogen	gen_is_variable	gen_load_zone	gen_max_age	gen_min_build_capacity	gen_min_downtime	gen_min_load	gen_min_uptime	gen_overnight_cost	gen_predetermined_cap	gen_ramp	gen_scheduled_outage_rate	gen_tech	gen_unit_size	gen_variable_om	gen_can_provide_cap_reserves
Wind_charrua	2016	3155.5	0	3274	Wind	36000	0.02	.	0	0	1	charrua	25	.	.	.	.	1800000	155.5	.	0.01	Wind	.	0.0	0
Wind_lomas_de_duqueco	2021	47.5	0	.	Wind	0	0.02	.	0	0	1	charrua	25	.	.	.	.	0	47.5	.	0.01	Wind	.	0.0	0
Wind_negrete	2020	40.0	0	.	Wind	0	0.02	.	0	0	1	charrua	25	.	.	.	.	0	40.0	.	0.01	Wind	.	0.0	0
Wind_san_gabriel	2019	183.0	0	.	Wind	0	0.02	.	0	0	1	charrua	25	.	.	.	.	0	183.0	.	0.01	Wind	.	0.0	0
Wind_vergara	2019	36.3	0	.	Wind	0	0.02	.	0	0	1	charrua	25	.	.	.	.	0	36.3	.	0.01	Wind	.	0.0	0
Biomass_temuco	2014	81.0	0	.	Biomass	0	0.045	13.5	0	0	0	temuco	30	.	1	0.0	1	0	81.0	81.0	0.01	BST	.	12.81623173	1
RoR_las_nieves	2018	6.5	0	.	Water	0	0.03	.	0	0	1	temuco	40	.	.	.	.	0	6.5	.	0.04	Hydro-RoR	.	3.770105839	0
RoR_temuco	2015	259.59	0	3187	Water	66000	0.03	.	0	0	1	temuco	40	.	.	.	.	4100000	129.59	.	0.04	Hydro-RoR	.	3.901529955	0
Biomass_puerto_montt	2004	61.0	0	.	Biomass	0	0.045	13.5	0	0	0	puerto_montt	30	.	1	0.0	1	0	61.0	61.0	0.01	BST	.	13.23042414	1
DE_puerto_montt	2008	175.34	0	3162	Diesel	0	0.05	8.72	0	0	0	puerto_montt	20	.	3	78.903	3	0	175.34	87.67	0.05	ICE	.	28.0	1
canutillar	1990	171.6	0	3190	Water	0	0.051	.	0	0	0	puerto_montt	80	.	1	0.0	1	0	171.6	171.6	0.094	Hydro-Dam	.	3.568050605	1
san_pedro	2021	170.0	0	.	Water	0	0.051	.	0	0	0	puerto_montt	80	.	1	0.0	1	0	170.0	170.0	0.094	Hydro-Dam	.	3.390547878	1
RoR_puerto_montt	2012	419.15	0	3184	Water	66000	0.03	.	0	0	1	puerto_montt	40	.	.	.	.	4100000	209.15	.	0.04	Hydro-RoR	.	3.889306329	0
TG_Diesel_rahue	2009	103.3	0	3163	Diesel	0	0.05	9	0	0	0	puerto_montt	25	.	2	30.99	2	0	103.3	41.32	0.08	OCGT	.	2.8	1
Wind_aurora	2019	127.7	0	.	Wind	0	0.02	.	0	0	1	puerto_montt	25	.	.	.	.	0	127.7	.	0.01	Wind	.	0.0	0
Wind_puerto_montt	2016	5537.0	0	3207	Wind	36000	0.02	.	0	0	1	puerto_montt	25	.	.	.	.	1800000	101.0	.	0.01	Wind	.	0.0	0
wind_lagunas_e	.	5000.0	0	.	Wind	36000	0.02	.	0	0	1	lagunas	25	.	.	.	.	1800000	.	.	0.01	Wind	.	0.0	0
CCGT_400_lagunas_e	.	400.0	0	.	Gas	14000	0.03	6.5	0	0	0	lagunas	25	.	4	140.0	2	1141000	.	160.0	0.08	CCGT	400	3.0	1
CCGT_300_lagunas_e	.	300.0	0	.	Gas	14400	0.026	6.5	0	0	0	lagunas	25	.	4	105.0	2	1165000	.	120.0	0.08	CCGT	300	3.06	1
CST_300_lagunas_e	.	300.0	0	.	Coal	60000	0.033	8.12	0	0	0	lagunas	30	.	8	135.0	4	3000000	.	60.0	0.1	CST	300	2.0	1
CST_300_lagunas_e1	.	300.0	0	.	Coal	60000	0.033	8.12	0	0	0	lagunas	30	.	8	135.0	4	3000000	.	60.0	0.1	CST	300	2.0	1
CST_300_lagunas_e2	.	300.0	0	.	Coal	60000	0.033	8.12	0	0	0	lagunas	30	.	8	135.0	4	3000000	.	60.0	0.1	CST	300	2.0	1
CST_300_lagunas_e3	.	300.0	0	.	Coal	60000	0.033	8.12	0	0	0	lagunas	30	.	8	135.0	4	3000000	.	60.0	0.1	CST	300	2.0	1
CST_300_lagunas_e4	.	300.0	0	.	Coal	60000	0.033	8.12	0	0	0	lagunas	30	.	8	135.0	4	3000000	.	60.0	0.1	CST	300	2.0	1
CST_150_lagunas_e	.	150.0	0	.	Coal	61200	0.033	8.12	0	0	0	lagunas	30	.	8	67.5	4	3060000	.	30.0	0.1	CST	150	2.05	1
DE_lagunas_e	.	500.0	0	.	Diesel	18200	0.052	9.8	0	0	0	lagunas	20	.	3	225.0	3	910000	.	250.0	0.05	ICE	.	6.75	1
OCGT_300_lagunas_e	.	300.0	0	.	Gas	12000	0.04	9	0	0	0	lagunas	25	.	2	90.0	2	800000	.	120.0	0.08	OCGT	300	3.5	1
OCGT_300_lagunas_e1	.	300.0	0	.	Gas	12000	0.04	9	0	0	0	lagunas	25	.	2	90.0	2	800000	.	120.0	0.08	OCGT	300	3.5	1
CCGT_400_crucero_encuentro_e	.	400.0	0	.	Gas	14000	0.03	6.5	0	0	0	crucero_encuentro	25	.	4	140.0	2	1141000	.	160.0	0.08	CCGT	400	3.0	1
CCGT_300_crucero_encuentro_e	.	300.0	0	.	Gas	14400	0.026	6.5	0	0	0	crucero_encuentro	25	.	4	105.0	2	1165000	.	120.0	0.08	CCGT	300	3.06	1
CST_300_crucero_encuentro_e	.	300.0	0	.	Coal	60000	0.033	8.12	0	0	0	crucero_encuentro	30	.	8	135.0	4	3000000	.	60.0	0.1	CST	300	2.0	1
DE_crucero_encuentro_e	.	500.0	0	.	Diesel	18200	0.052	9.8	0	0	0	crucero_encuentro	20	.	3	225.0	3	910000	.	250.0	0.05	ICE	.	6.75	1
OCGT_300_crucero_encuentro_e	.	300.0	0	.	Gas	12000	0.04	9	0	0	0	crucero_encuentro	25	.	2	90.0	2	800000	.	120.0	0.08	OCGT	300	3.5	1
OCGT_300_crucero_encuentro_e1	.	300.0	0	.	Gas	12000	0.04	9	0	0	0	crucero_encuentro	25	.	2	90.0	2	800000	.	120.0	0.08	OCGT	300	3.5	1
