LOAD_ZONE	TIMEPOINT	zone_demand_mw
crucero_encuentro	35772	797.457529708
crucero_encuentro	35773	796.82767639
crucero_encuentro	35774	819.249481781
crucero_encuentro	35775	834.481475064
crucero_encuentro	35776	852.19640363
crucero_encuentro	35777	843.981559962
crucero_encuentro	35778	861.363322873
crucero_encuentro	35779	848.811246026
crucero_encuentro	35780	854.420345173
crucero_encuentro	35781	855.902567558
crucero_encuentro	35782	851.578709642
crucero_encuentro	35783	846.687010992
crucero_encuentro	37464	833.78960916
crucero_encuentro	37465	822.708811301
crucero_encuentro	37466	806.722939528
crucero_encuentro	37467	815.123820952
crucero_encuentro	37468	789.032329624
crucero_encuentro	37469	816.482018166
crucero_encuentro	37470	833.480762166
crucero_encuentro	37471	804.44914473
crucero_encuentro	37472	785.091490618
crucero_encuentro	37473	789.044488955
crucero_encuentro	37474	787.426082069
crucero_encuentro	37475	750.414296043
crucero_encuentro	37476	744.632534404
crucero_encuentro	37477	755.492032449
crucero_encuentro	37478	756.4064141
crucero_encuentro	37479	779.568722717
crucero_encuentro	37480	787.95744481
crucero_encuentro	37481	792.256984065
crucero_encuentro	37482	802.868431769
crucero_encuentro	37483	870.35636369
crucero_encuentro	37484	934.682869689
crucero_encuentro	37485	938.302702371
crucero_encuentro	37486	938.734358602
crucero_encuentro	37487	937.745805035
crucero_encuentro	38400	862.500220272
crucero_encuentro	38401	847.403195557
crucero_encuentro	38402	866.687893687
crucero_encuentro	38403	870.406216945
crucero_encuentro	38404	851.899715966
crucero_encuentro	38405	852.505250624
crucero_encuentro	38406	852.344747461
crucero_encuentro	38407	842.375312407
crucero_encuentro	38408	830.256107725
crucero_encuentro	38409	825.067721412
crucero_encuentro	38410	822.646798715
crucero_encuentro	38411	833.308099674
crucero_encuentro	38412	830.763151806
crucero_encuentro	38413	830.219629734
crucero_encuentro	38414	833.122061917
crucero_encuentro	38415	844.709903858
crucero_encuentro	38416	840.361727281
crucero_encuentro	38417	823.85786803
crucero_encuentro	38418	826.970656631
crucero_encuentro	38419	844.043572548
crucero_encuentro	38420	842.301140491
crucero_encuentro	38421	860.523113137
