GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
CCGT_300_crucero_encuentro_e	2030	1165000.0	14400.0
CCGT_300_crucero_encuentro_e	2034	1165000.0	14400.0
CST_300_crucero_encuentro_e	2018	3000000.0	60000.0
CST_300_crucero_encuentro_e	2022	3000000.0	60000.0
CST_300_crucero_encuentro_e	2026	3000000.0	60000.0
CST_300_crucero_encuentro_e	2030	3000000.0	60000.0
CST_300_crucero_encuentro_e	2034	3000000.0	60000.0
DE_crucero_encuentro_e	2018	910000.0	18200.0
DE_crucero_encuentro_e	2022	910000.0	18200.0
DE_crucero_encuentro_e	2026	910000.0	18200.0
DE_crucero_encuentro_e	2030	910000.0	18200.0
DE_crucero_encuentro_e	2034	910000.0	18200.0
OCGT_300_crucero_encuentro_e	2018	800000.0	12000.0
OCGT_300_crucero_encuentro_e	2022	800000.0	12000.0
OCGT_300_crucero_encuentro_e	2026	800000.0	12000.0
OCGT_300_crucero_encuentro_e	2030	800000.0	12000.0
OCGT_300_crucero_encuentro_e	2034	800000.0	12000.0
OCGT_300_crucero_encuentro_e1	2018	800000.0	12000.0
OCGT_300_crucero_encuentro_e1	2022	800000.0	12000.0
OCGT_300_crucero_encuentro_e1	2026	800000.0	12000.0
OCGT_300_crucero_encuentro_e1	2030	800000.0	12000.0
OCGT_300_crucero_encuentro_e1	2034	800000.0	12000.0
pv_mejillones_e	2018	1134870.0	17023.05
pv_mejillones_e	2022	996120.0	14941.8
pv_mejillones_e	2026	879960.0	13199.4
pv_mejillones_e	2030	783000.0	11745.0
pv_mejillones_e	2034	705240.0	10578.6
wind_mejillones_e	2018	1775610.0	35512.2
wind_mejillones_e	2022	1717290.0	34345.8
wind_mejillones_e	2026	1670490.0	33409.8
wind_mejillones_e	2030	1635210.0	32704.2
wind_mejillones_e	2034	1611450.0	32229.0
CCGT_400_mejillones_e	2018	1141000.0	14000.0
CCGT_400_mejillones_e	2022	1141000.0	14000.0
CCGT_400_mejillones_e	2026	1141000.0	14000.0
CCGT_400_mejillones_e	2030	1141000.0	14000.0
CCGT_400_mejillones_e	2034	1141000.0	14000.0
CCGT_300_mejillones_e	2018	1165000.0	14400.0
CCGT_300_mejillones_e	2022	1165000.0	14400.0
CCGT_300_mejillones_e	2026	1165000.0	14400.0
CCGT_300_mejillones_e	2030	1165000.0	14400.0
CCGT_300_mejillones_e	2034	1165000.0	14400.0
CST_300_mejillones_e	2018	3000000.0	60000.0
CST_300_mejillones_e	2022	3000000.0	60000.0
CST_300_mejillones_e	2026	3000000.0	60000.0
CST_300_mejillones_e	2030	3000000.0	60000.0
CST_300_mejillones_e	2034	3000000.0	60000.0
DE_mejillones_e	2018	910000.0	18200.0
DE_mejillones_e	2022	910000.0	18200.0
DE_mejillones_e	2026	910000.0	18200.0
DE_mejillones_e	2030	910000.0	18200.0
DE_mejillones_e	2034	910000.0	18200.0
OCGT_300_mejillones_e	2018	800000.0	12000.0
OCGT_300_mejillones_e	2022	800000.0	12000.0
OCGT_300_mejillones_e	2026	800000.0	12000.0
OCGT_300_mejillones_e	2030	800000.0	12000.0
OCGT_300_mejillones_e	2034	800000.0	12000.0
OCGT_200_mejillones_e	2018	816000.0	12240.0
OCGT_200_mejillones_e	2022	816000.0	12240.0
OCGT_200_mejillones_e	2026	816000.0	12240.0
OCGT_200_mejillones_e	2030	816000.0	12240.0
OCGT_200_mejillones_e	2034	816000.0	12240.0
CCGT_400_laberinto_zaldivar_e	2018	1141000.0	14000.0
CCGT_400_laberinto_zaldivar_e	2022	1141000.0	14000.0
CCGT_400_laberinto_zaldivar_e	2026	1141000.0	14000.0
CCGT_400_laberinto_zaldivar_e	2030	1141000.0	14000.0
CCGT_400_laberinto_zaldivar_e	2034	1141000.0	14000.0
CCGT_300_laberinto_zaldivar_e	2018	1165000.0	14400.0
CCGT_300_laberinto_zaldivar_e	2022	1165000.0	14400.0
CCGT_300_laberinto_zaldivar_e	2026	1165000.0	14400.0
CCGT_300_laberinto_zaldivar_e	2030	1165000.0	14400.0
CCGT_300_laberinto_zaldivar_e	2034	1165000.0	14400.0
CST_300_laberinto_zaldivar_e	2018	3000000.0	60000.0
CST_300_laberinto_zaldivar_e	2022	3000000.0	60000.0
CST_300_laberinto_zaldivar_e	2026	3000000.0	60000.0
CST_300_laberinto_zaldivar_e	2030	3000000.0	60000.0
CST_300_laberinto_zaldivar_e	2034	3000000.0	60000.0
CST_150_laberinto_zaldivar_e	2018	3060000.0	61200.0
